Time,Flight,X (nm),Y (nm),LEV (ft)
2005.10.06 19:07:00,ELG1335,96.937500,-54.796875,7000
2005.10.06 19:07:00,ELG1335,97.015625,-54.437500,7000
2005.10.06 19:07:00,ELG1335,97.093750,-54.078125,6900
2005.10.06 19:08:00,ELG1335,97.187500,-53.718750,6900
2005.10.06 19:08:00,ELG1335,97.250000,-53.375000,6900
2005.10.06 19:08:00,ELG1335,97.312500,-53.046875,6800
2005.10.06 19:08:00,ELG1335,97.375000,-52.718750,6900
2005.10.06 19:08:00,ELG1335,97.453125,-52.390625,6800
2005.10.06 19:08:00,ELG1335,97.515625,-52.062500,6800
2005.10.06 19:08:00,ELG1335,97.578125,-51.750000,6800
2005.10.06 19:08:00,ELG1335,97.640625,-51.437500,6800
2005.10.06 19:08:00,ELG1335,97.687500,-51.125000,6800
2005.10.06 19:08:00,ELG1335,97.718750,-50.843750,6800
2005.10.06 19:08:00,ELG1335,97.750000,-50.546875,6800
2005.10.06 19:08:00,ELG1335,97.781250,-50.265625,6800
2005.10.06 19:08:00,ELG1335,97.796875,-50.000000,6800
2005.10.06 19:08:00,ELG1335,97.812500,-49.734375,6800
2005.10.06 19:08:00,ELG1335,97.828125,-49.468750,6700
2005.10.06 19:08:00,ELG1335,97.859375,-49.203125,6700
2005.10.06 19:09:00,ELG1335,97.875000,-48.953125,6600
2005.10.06 19:09:00,ELG1335,97.906250,-48.703125,6600
2005.10.06 19:09:00,ELG1335,97.921875,-48.468750,6600
2005.10.06 19:09:00,ELG1335,97.937500,-48.234375,6500
2005.10.06 19:09:00,ELG1335,97.953125,-48.000000,6500
2005.10.06 19:09:00,ELG1335,97.968750,-47.765625,6400
2005.10.06 19:09:00,ELG1335,97.984375,-47.531250,6400
2005.10.06 19:09:00,ELG1335,98.015625,-47.296875,6300
2005.10.06 19:09:00,ELG1335,98.031250,-47.062500,6300
2005.10.06 19:09:00,ELG1335,98.046875,-46.828125,6300
2005.10.06 19:09:00,ELG1335,98.093750,-46.359375,6200
